"titre";"auteur";"annee_creation";"lieu_exposition";"naissance_deces";"domaine";"technique";"hauteur_cm";"longueur_cm";"annee_acquisition";"type_acquisition";"precisions_acquisitions";"numero_inventaire";"lien_navigart"
"Victoire tenant une lance et des couronnes devant un arbre";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon, plume, lavis d'encre et rehauts de gouache blanche sur papier calque";35.6;27.5;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.91.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003947"
"Etude du nautonier de gauche";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";20.3;15.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4379";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065226"
"Nancy, tourelle rue Calot";"Henry Wilfrid DEVILLE";1929;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte sur papier japonais";24.8;15.5;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3700";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082142"
"Couverture pour """"La Revue Nantaise""""";"Jean-Emile LABOUREUR";1897;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveLithographie en couleurs";28.8;43.9;1966;"Don";"Don de Mme Laboureur en 1966";"966.12.30.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003830"
"Portrait en pied de Monsieur François Moricaud, maire de Nantes";"Henri-Charles BLO";NA;"";"1700, Nantes (Loire-Atlantique, France) - 1766, Nantes (Loire-Atlantique, France)";"Peinture";"Huile sur toile";235;164;1955;"Don";"Don de Mme Marie de Coulans-Beaucourt en 1955";"6502";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005307"
"La procession";"Jean-Emile LABOUREUR";1899;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveXylographie, tirage sur papier";38.4;43.5;1966;"Don";"Don de Mme Laboureur en 1966";"966.12.14.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003814"
"Danseuse orientale";"Eugène PICOU";NA;"";"1831, Nantes (Loire-Atlantique, France) - 1914, Nantes (Loire-Atlantique, France)";"Dessin";"Aquarelle";78.2;50.2;1986;"Don";"Don de Mme André Picou en 1986";"8838 ,  986.3.26.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005579"
"A San Antonio, Naples";"Jules Elie DELAUNAY";1857;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb et craie blanche- papier brun";20.7;20.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4502";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007586"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°118Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136433"
"Etude d'enluminure";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon sur papier contrecollé sur carton";24.9;23.1;NA;"Mode d'acquisition non renseigné";"Acquisition";"2016.0.112.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000144342"
"La mort d'Hyppolite";"Carle VERNET (Antoine Charles VERNET, dit)";NA;"";"1758, Bordeaux (Gironde, France) - 1836, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";69.5;97;NA;"Mode d'acquisition non renseigné";"Mode d'acquisition non renseigné";"Non inv.";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007950"
"Etude de feuillage";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon, plume et encre sur papier vert";28;38;NA;"Mode d'acquisition non renseigné";"Acquisition";"2016.0.21.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143809"
"L'étal marseillais";"Henry OTTMANN";1922;"";"1877, Ancenis (Loire-Atlantique, France) - 1927, Vernon (Eure, France)";"Peinture";"Huile sur toile";54;65;1966;"Don";"Don de la Société des amis du Musée des Beaux-Arts de Nantes en 1966";"966.5.3.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002940"
"Femme étendue drapée dans une tunique";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain sur papier calque";14.5;51;NA;"Mode d'acquisition non renseigné";"Acquisition";"5650";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069563"
"Vue d'une villa sous le Pont Rotto porta Rotto)";"Jules Elie DELAUNAY";1857;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb et craie blanche - papier à dessin bleu";18.7;26;NA;"Mode d'acquisition non renseigné";"Acquisition";"4486";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007571"
"Femme debout, de profil, le bras gauche allongé tient un lion, le droit appuyé sur un bois";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain";28;16.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"6092";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069843"
"Héro";"Antoine ETEX";1848;"Musée d'Arts - Palais - Salle 12";"1808, Paris (France) - 1888, Chaville (Hauts-de-Seine, France)";"Sculpture";"StatueBronze";156;55;NA;"Dépôt Etat";"Achat en vente publique à l'artisteEtatDépôt au Musée des Beaux-Arts de Nantes en 1858 (2000 francs en 1856)";"1788 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005109"
"Un lanceur de disque. Esquisse d'un faucheur à droite";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";21;14.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"4737";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066280"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°58Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136373"
"Eglise de Saint-Julien de Vouvantes";"Félix BENOIST";NA;"";"1818, Saumur (Maine-et-Loire, France) - 1896, Nantes (Loire-Atlantique, France)";"Estampe";"Série : Nantes et la Loire-InférieureLithographie sur papier Canson";19.9;29;NA;"Dépôt Etat";"Acquisition en 1876EtatDépôt au Musée des Beaux-Arts de Nantes en 1876";"3253 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005658"
"Nature morte aux oiseaux (canards, pigeons, sarcelles, etc.)";"Baldassarre DE CARO";NA;"";"1715, Naples (Italie) - 1750, Naples (Italie)";"Peinture";"Huile sur toile";54.5;82.8;1810;"Achat";"Achat à M Cacault en 1810";"412";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006132"
"Le campement";"Eugène-Alexis GIRARDET";1880;"Musée d'Arts - Palais - Salle  13";"1853, Paris (France) - 1907, Paris (France)";"Peinture";"Huile sur toile";50.4;90.7;1908;"Legs";"Legs Collection Aristide David et fils en 1908";"994";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001897"
"L'artiste et sa famille";"Jean-Emile LABOUREUR";1925;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin, tirage sur papier";15;11.9;1973;"Achat";"Achat à la Galerie Arpège en 1973";"973.6.1.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000079228"
"Vue prise à Sautron, près des Moulins l'Evêque";"Emmanuel PHELIPPES-BEAULIEUX";1856;"";"1819, Nantes (Loire-Atlantique, France) - 1874, Nantes (Loire-Atlantique, France)";"Estampe";"Eau-forte sur papier";42.9;27.4;1948;"Don";"Don de M Michel Noury en 1948";"3431";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005772"
"Tireur à l'arc en action, debout, tourné vers la gauche";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";29.3;22;NA;"Mode d'acquisition non renseigné";"Acquisition";"4709";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066253"
"En pays étranger";"James TISSOT";1881;"";"1836, Nantes (Loire-Atlantique, France) - 1902, Buillon (Doubs)";"Estampe";"Série de l'Enfant prodigueEau-forte sur papier";31;37.5;1904;"Legs";"Legs de M Tissot en 1904";"3881";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006003"
"Intérieur de la Seo à Saragosse";"René PINARD";1911;"";"1883, Nantes (Loire-Atlantique, France) - 1938, Paris (France)";"Dessin";"Fusain, lavis et grattage sur papier";49.9;32.5;1922;"Don";"Don de l'artiste en 1922";"6210";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003127"
"Calle aux oranges";"René PINARD";1915;"";"1883, Nantes (Loire-Atlantique, France) - 1938, Paris (France)";"Dessin";"fusain, sanguine et lavis sur papier";25.2;32.5;1922;"Don";"Don de l'artiste en 1922";"6205";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003122"
"Ensemble du groupe """"le serment de Brutus"""" Une des femmes tombant et retenue par un homme";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier calque";12.6;13.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"5100";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068218"
"Un lavoir le matin, en Bretagne";"Léon Germain PELOUSE";1869;"";"1838, Pierrelaye (Val-d'Oise, France) - 1891, Paris (France)";"Peinture";"Peinture, Toile libreHuile sur toile";176;NA;1875;"Don";"Don Général Mellinet en 1875";"1124";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004255"
"Dessin d'après Michel-Ange (chapelle  Sixtine)";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";13.5;7.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"4229";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007061"
"Saint Jean - Etude pour vitrail";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Pierre noire, rehauts de craie blanche, plume et encre sur papier contrecollé sur papier";71.8;42.1;1924;"Don";"Don Famille de l'artiste en 1924";"2414";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002738"
"Buste du graveur René Pinard";"Louis-Henri NICOT";NA;"";"1878, Rennes (Ille-et-Vilaine, France) - 1944, Paris (France)";"Sculpture";"BustePlâtre";48;NA;1938;"Legs";"Legs de M René Pinard en 1938";"2355";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002911"
"Etude du moissonneur coupant une javelle. A droite, étude d'une tête";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";9.9;8.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4692";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066237"
"Départ pour le marché";"Emmanuel PHELIPPES-BEAULIEUX";1862;"";"1819, Nantes (Loire-Atlantique, France) - 1874, Nantes (Loire-Atlantique, France)";"Estampe";"Sommet semi-circulaireEau-forte sur papier";8;3.85;1948;"Don";"Don de M Michel Noury en 1948";"3483";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005824"
"La rue du Sabot, Paris";"Henry Wilfrid DEVILLE";1930;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, Matrice cuivreEau-forte";18.1;9.2;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3576";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142929"
"Amour tenant un marteau et un compas dans la main";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume et sanguine sur papier calque";14.6;16.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4947";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067413"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°121Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136436"
"Cortland Street, New-York";"Jean-Emile LABOUREUR";1908;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier vergé imprimerie CH Wittmann";35.8;27.7;1911;"Achat";"Achat à l'artiste en 1911";"1871";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002204"
"La maison du petit bois";"Emmanuel PHELIPPES-BEAULIEUX";1863;"";"1819, Nantes (Loire-Atlantique, France) - 1874, Nantes (Loire-Atlantique, France)";"Estampe";"Eau-forte sur papier";1.1;2;1948;"Don";"Don de M Michel Noury en 1948";"3492";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005833"
"Un marchand ambulant";"Rudolph ERNST";1908;"";"1854, Vienne (Autriche) - 1932, Paris (France)";"Peinture";"A la porte d'une ville d'Orient, une femme est assise, à droite ; devant elle, un homme en costume oriental tenant une aiguièreHuile sur bois";61.2;49;1908;"Legs";"Legs Collection Aristide David et fils en 1908";"908.1.23.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001773"
"Diane, de face, tête vers la gauche, retient une écharpe de la main gauche";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb";26.5;20.5;1897;"Don";"Don en 1897";"5431";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007246"
"Motif pour la Renommée";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon noir sur papier";26.8;20.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5322";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068786"
"Tête de jeune homme, visage profil perdu, chapeau sur la tête";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume et mine de plomb sur papier";34.3;23.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"5814";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007553"
"Pesonnage , le bras droit allongé, retient une pancarte";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";31.5;14.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"5461";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068906"
"Etude de la tête du Christ et du haut du buste";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain sur papier";30.8;21.8;NA;"Mode d'acquisition non renseigné";"Acquisition";"4250";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007081"
"Façade avec balcons, Nantes";"Henry Wilfrid DEVILLE";1938;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, Matrice cuivreEau-forte";32.2;22;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3636";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142989"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°103Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136418"
"Fleurs artificielles (nénuphars et muguet)";"Jean-Emile LABOUREUR";NA;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin, tirage sur papier";28.1;22.4;1928;"Achat";"Achat à l'artiste en 1928";"2558";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002246"
"Hercule en atlante";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb";NA;NA;NA;"Mode d'acquisition non renseigné";"Acquisition";"sans inv.";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000070414"
"Etude d'herbes (chardons ?)";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Pierre noire, rehauts de craie blanche sur papier beige";26.3;37.2;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.67.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003923"
"Etude de moutons";"Félix THOMAS";NA;"";"1815, Nantes (Loire-Atlantique, France) - 1875, Nantes (Loire-Atlantique, France)";"Dessin";"Fusain et gouache blanche";23.7;46.5;1897;"Achat";"Achat en 1897";"1625";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007946"
"Le cirque";"Henri Gabriel IBELS";NA;"";"1867, Paris (France) - 1936, Paris (France)";"Estampe";"Lithographie sur papier";49.26;26.2;1972;"Achat";"Achat à une galerie en 1972";"972.9.1.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002141"
"Portrait de femme d'après J.A.D. Ingres";"Jean-Alexandre CORABOEUF";1926;"";"1870, Pouillé-les-Côteaux (Loire-Atlantique, France) - 1947, Paris (France)";"Estampe";"Eau-forte, tirage sur papier";50;32;2015;"Donation";"Donation Roseline Besnard-Viguier bis en 2015";"2015.1.36.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000144511"
"La procession";"Jean-Emile LABOUREUR";1899;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Peinture";"Huile sur bois";21.3;30;1966;"Don";"Don de Mme Laboureur en 1966";"966.12.1.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002310"
"L'entrée du port de Pornic, un soir d'automne";"Adolphe ROUSSE";NA;"";"1844, La Plaine-sur-Mer (Loire-Atlantique, France) - 1887, Pornic (Loire-Atlantique, France)";"Dessin";"Aquarelle, mine de plomb";25;36;1911;"Don";"Don M Joseph Rousse, frère de l'artiste en 1911";"1604";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003298"
"Paysage montagneux avec des voyageurs";"Joos DE MOMPER dit Joos DE MOMPER II";NA;"Musée d'Arts - Palais - Salle 3";"1564, Anvers (Belgique) - 1635, Anvers (Belgique)";"Peinture";"Huile sur bois";46.6;74.8;NA;"Dépôt Etat";"Acquisition Envoi du Museum Central des Arts en 1804EtatDépôt au Musée des Beaux-Arts de Nantes en 1804";"390";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006296"
